filename,AUC-PR,AUC-ROC,Standard-F1
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,0.3137465804360999,0.6942427730311214,0.33070371122929776
015_NAB_id_15_Synthetic_tr_1007_1st_2787.csv,0.10502959904369491,0.42342029351693933,0.2260887835889071
026_NAB_id_26_Traffic_tr_624_1st_2261.csv,0.1399635857402965,0.5862859075518752,0.22107067189131324
037_WSD_id_9_WebService_tr_4583_1st_6214.csv,0.19850511313249633,0.930122865076648,0.2903187513512367
049_WSD_id_21_WebService_tr_4297_1st_7097.csv,0.3419474902601819,0.9899191198312458,0.3684180471159314
060_WSD_id_32_WebService_tr_4576_1st_4766.csv,0.45986712506337174,0.991728900536757,0.4573941394896074
071_WSD_id_43_WebService_tr_3387_1st_3487.csv,0.6297941211516142,0.9168932966774452,0.6053673881677337
081_WSD_id_53_WebService_tr_4559_1st_8448.csv,0.7437977066381675,0.9968759242827564,0.742611130727239
091_WSD_id_63_WebService_tr_500_1st_363.csv,0.26524373258768197,0.9563202884663877,0.25713913111975084
101_WSD_id_73_WebService_tr_1513_1st_1613.csv,0.4455982781951766,0.9959704275750844,0.4978123155913918
111_WSD_id_83_WebService_tr_3934_1st_7531.csv,0.37332301341589263,0.9953812580775017,0.49999625002812476
121_WSD_id_93_WebService_tr_4559_1st_11749.csv,0.30986969566816713,0.9881298582766946,0.3157857679720796
131_WSD_id_103_WebService_tr_4573_1st_7021.csv,0.2942284850068772,0.8597072201907824,0.44444043213498763
141_MSL_id_2_Sensor_tr_500_1st_550.csv,0.3402857442772773,0.8047515368852458,0.45586138025185546
154_Stock_id_6_Finance_tr_500_1st_38.csv,0.9981327838735311,0.999928784662556,0.995905020522047
165_Stock_id_17_Finance_tr_500_1st_7.csv,0.9426326444317331,0.9805026660879151,0.8758170842658184
